rank,State,Population,MedianAge,MedianAgeMale,MedianAgeFemale
1,Maine,1332813,44.6,43.2,45.8
2,Vermont,624977,42.9,41.4,44.2
3,New Hampshire,1343622,42.7,41.5,44
4,West Virginia,1829054,42.4,41,43.6
5,Florida,20598139,41.9,40.3,43.5
6,Connecticut,3581504,40.8,39.1,42.6
7,Pennsylvania,12791181,40.7,39.1,42.4
8,Delaware,949495,40.2,38.5,42
9,Rhode Island,1056611,39.9,38.1,41.6
11,New Jersey,8881845,39.8,38.2,41.4
10,Montana,1041732,39.8,38.7,40.9
12,Michigan,9957488,39.7,38.2,41
13,Massachusetts,6830193,39.4,37.9,40.9
15,Wisconsin,5778394,39.3,38.2,40.5
14,Ohio,11641879,39.3,37.8,40.8
17,South Carolina,4955925,39.2,37.6,40.7
16,Oregon,4081943,39.2,38.2,40.3
19,Hawaii,1422029,38.9,37.4,40.4
18,Alabama,4864680,38.9,37.4,40.3
22,Tennessee,6651089,38.7,37.4,39.9
21,New York,19618453,38.7,37.1,40.2
20,Kentucky,4440204,38.7,37.3,40.1
24,North Carolina,10155624,38.6,37.1,40.1
23,Maryland,6003435,38.6,37,40.1
25,Missouri,6090062,38.5,37.1,40
27,Virginia,8413774,38.1,36.8,39.4
26,Iowa,3132499,38.1,36.9,39.3
31,Nevada,2922849,37.9,37.2,38.5
30,Minnesota,5527358,37.9,37,38.9
29,Illinois,12821497,37.9,36.6,39.2
28,Arkansas,2990671,37.9,36.6,39.3
33,Washington,7294336,37.6,36.6,38.7
32,Indiana,6637426,37.6,36.4,38.9
34,New Mexico,2092434,37.5,36.1,39.1
35,Arizona,6946685,37.4,36.1,38.7
36,Wyoming,581836,37.3,36.5,38.2
37,Mississippi,2988762,37.2,35.6,38.6
38,South Dakota,864289,36.8,35.8,38
40,Louisiana,4663616,36.6,35.4,37.9
39,Colorado,5531141,36.6,35.7,37.6
42,Kansas,2908776,36.5,35.3,37.9
41,Georgia,10297484,36.5,35.2,37.8
44,Oklahoma,3918137,36.4,35.2,37.7
43,Nebraska,1904760,36.4,35.4,37.4
45,California,39148760,36.3,35.2,37.5
46,Idaho,1687809,36.1,35.4,36.9
47,North Dakota,752201,35.1,34.1,36.4
48,Texas,27885195,34.4,33.5,35.4
49,Alaska,738516,34,33.6,34.5
50,District of Columbia,684498,33.9,33.8,34.1
51,Utah,3045350,30.7,30.1,31.3